EndFiscalYear,UniqueIndividual_ID,Gender,Region_MostRecentPlacement,Age_Category,TotalAggregatedDays_Segregation
2023,2023-00492-SG,Male,Toronto,25 to 49,8
2023,2023-00493-SG,Male,Central,25 to 49,34
2023,2023-00494-SG,Male,Western,50+,2
2023,2023-00495-SG,Male,Northern,50+,6
2023,2023-00496-SG,Female,Central,50+,3
2023,2023-00497-SG,Male,Toronto,50+,5
2023,2023-00498-SG,Male,Northern,25 to 49,12
2023,2023-00499-SG,Male,Western,25 to 49,11
2023,2023-00500-SG,Male,Central,25 to 49,3
2023,2023-00501-SG,Female,Central,25 to 49,6
2023,2023-00502-SG,Male,Western,25 to 49,14
2023,2023-00503-SG,Male,Central,25 to 49,31
2023,2023-00504-SG,Female,Eastern,50+,1
2023,2023-00505-SG,Male,Western,25 to 49,5
2023,2023-00506-SG,Male,Northern,25 to 49,4
2023,2023-00507-SG,Male,Eastern,25 to 49,5
2023,2023-00508-SG,Male,Northern,25 to 49,2
2023,2023-00509-SG,Male,Central,25 to 49,3
2023,2023-00510-SG,Male,Central,50+,5
2023,2023-00511-SG,Male,Northern,25 to 49,16
2023,2023-00512-SG,Female,Central,50+,9
2023,2023-00513-SG,Male,Central,25 to 49,3
2023,2023-00514-SG,Male,Eastern,25 to 49,3
2023,2023-00515-SG,Male,Northern,25 to 49,2
2023,2023-00516-SG,Male,Central,25 to 49,8
2023,2023-00517-SG,Male,Central,25 to 49,4
2023,2023-00518-SG,Male,Central,25 to 49,6
2023,2023-00519-SG,Male,Central,50+,2
2023,2023-00520-SG,Male,Central,25 to 49,6
2023,2023-00521-SG,Male,Northern,50+,2
2023,2023-00522-SG,Male,Eastern,25 to 49,1
2023,2023-00523-SG,Female,Central,25 to 49,2
2023,2023-00524-SG,Male,Toronto,25 to 49,15
2023,2023-00525-SG,Male,Western,50+,2
2023,2023-00526-SG,Male,Central,25 to 49,5
2023,2023-00527-SG,Male,Western,25 to 49,5
2023,2023-00528-SG,Male,Eastern,25 to 49,16
2023,2023-00529-SG,Male,Central,25 to 49,9
2023,2023-00530-SG,Male,Central,25 to 49,12
2023,2023-00531-SG,Male,Western,25 to 49,11
2023,2023-00532-SG,Male,Western,25 to 49,4
2023,2023-00533-SG,Male,Northern,50+,4
2023,2023-00534-SG,Male,Western,25 to 49,11
2023,2023-00535-SG,Male,Western,50+,6
